Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m)
2021 05 27 04 41 29.940 99.9352 25.6195 7838
2021 05 27 04 42 2.830 99.9137 25.5469 6540
2021 05 27 04 43 9.200 99.9875 25.5910 2169
2021 05 27 04 44 30.130 99.9659 25.5694 5016
2021 05 27 04 45 4.850 99.9544 25.5917 4394
2021 05 27 04 50 44.110 99.9359 25.6270 2990
2021 05 27 04 51 13.030 99.8817 25.6819 5272
2021 05 27 04 58 13.900 99.8839 25.6763 5692
2021 05 27 05 03 21.060 99.8819 25.6937 6083
2021 05 27 05 05 1.820 100.0421 25.5770 3556
2021 05 27 05 07 31.120 99.9869 25.5972 1996
2021 05 27 05 13 1.860 99.9497 25.5604 6937
2021 05 27 05 21 44.020 99.9361 25.6466 5077
2021 05 27 05 23 40.740 99.9331 25.6484 6147
2021 05 27 05 24 37.850 99.9051 25.6572 3479
2021 05 27 05 29 7.970 99.8554 25.6958 2821
2021 05 27 05 30 28.090 99.9391 25.6197 3758
2021 05 27 05 30 58.050 99.9221 25.6412 0389
2021 05 27 05 33 0.900 99.9042 25.6565 1167
2021 05 27 05 33 35.050 99.9411 25.5942 4354
2021 05 27 05 34 18.940 99.8763 25.6795 2389
2021 05 27 05 36 1.050 99.8899 25.6553 4059
2021 05 27 05 37 19.650 99.8734 25.6732 5201
2021 05 27 05 39 45.120 99.9860 25.5916 5395
2021 05 27 05 41 59.800 99.8803 25.6759 0398
2021 05 27 05 44 38.920 100.0876 25.4085 8955
2021 05 27 05 45 43.920 100.0858 25.4123 9230
2021 05 27 05 47 7.990 99.9374 25.6355 3200
2021 05 27 05 47 50.150 99.9874 25.5984 2555
2021 05 27 05 49 8.180 99.8747 25.6806 2655
2021 05 27 05 50 12.150 99.9593 25.6054 10002
2021 05 27 05 52 47.950 99.9845 25.5705 4166
2021 05 27 06 00 13.100 99.9354 25.6468 5534
2021 05 27 06 00 59.840 99.9506 25.5784 4602
2021 05 27 06 02 50.030 99.9308 25.6062 4985
2021 05 27 06 07 4.160 99.9829 25.5647 3669
2021 05 27 06 11 50.980 99.8870 25.7160 3230
2021 05 27 06 12 37.070 99.8951 25.6622 1870
2021 05 27 06 23 34.020 99.9961 25.5833 4970
2021 05 27 06 24 29.870 99.9049 25.6588 3273
2021 05 27 06 25 15.100 99.9700 25.5661 5748
2021 05 27 06 33 0.000 99.9647 25.5754 5400
2021 05 27 06 43 16.950 99.9344 25.7294 2571
2021 05 27 06 44 1.120 99.9463 25.6259 3781
2021 05 27 06 46 26.050 99.8866 25.6795 6137
2021 05 27 06 48 55.940 99.9910 25.5666 1963
2021 05 27 06 52 17.950 99.9513 25.5640 6552
2021 05 27 07 18 0.080 99.9651 25.5695 5165
2021 05 27 07 19 21.850 99.9684 25.5736 5226
2021 05 27 07 21 46.780 99.9351 25.7355 1873
2021 05 27 07 24 25.150 99.9766 25.5508 4379
2021 05 27 07 30 41.870 99.8991 25.6528 2352
2021 05 27 07 34 25.020 99.9353 25.6475 5626
2021 05 27 07 36 44.940 99.9919 25.5953 5222
2021 05 27 07 52 24.920 99.8775 25.6893 5403
2021 05 27 07 59 44.930 99.9338 25.6058 6894
2021 05 27 08 01 0.900 99.8769 25.6726 6559
2021 05 27 08 03 31.020 99.8769 25.6801 2328
2021 05 27 08 12 44.900 99.8742 25.6813 3170
2021 05 27 08 26 21.980 100.0079 25.5678 6263
2021 05 27 08 30 3.840 99.9501 25.5578 6804
2021 05 27 08 30 39.960 99.9416 25.5981 4309
2021 05 27 08 33 1.120 99.8701 25.6804 2893
2021 05 27 08 55 48.070 99.9227 25.6432 1085
2021 05 27 08 56 52.160 99.9275 25.6514 4559
2021 05 27 09 04 56.110 99.9467 25.6169 3979
2021 05 27 09 06 50.050 99.9517 25.5619 -1434
2021 05 27 09 14 1.180 99.8777 25.6849 2517
2021 05 27 09 16 25.060 99.9409 25.6207 4.036000e+03
2021 05 27 09 27 38.140 99.9313 25.6502 3720
2021 05 27 09 32 45.130 99.9006 25.6646 3101
