Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m) Magnitude(ML)
2021 05 27 03 56 41 99.9390 25.5444 4200.40 -0.3
2021 05 27 04 00 02 99.9456 25.6077 6122.80 -0.2
2021 05 27 04 03 06 99.9320 25.6031 6258.02 1.3
2021 05 27 04 04 20 99.9298 25.5983 5235.09 0.2
2021 05 27 04 05 40 99.8924 25.6719 6081.65 0.2
2021 05 27 04 08 45 100.0610 25.4918 6640.15 -0.4
2021 05 27 04 09 23 100.0053 25.5786 7868.84 0.0
2021 05 27 04 10 23 99.9317 25.6045 6293.29 1.2
2021 05 27 04 12 14 99.9362 25.5907 4603.11 0.2
2021 05 27 04 15 28 99.8855 25.6720 4938.21 -0.5
2021 05 27 04 16 30 99.8523 25.5441 5202.76 0.1
2021 05 27 04 17 34 99.9783 25.5545 5917.04 0.1
2021 05 27 04 18 13 99.8889 25.6618 10243.92 0.9
2021 05 27 04 18 34 99.9743 25.5983 6575.48 0.6
2021 05 27 04 20 03 99.9349 25.7334 5529.04 -0.3
2021 05 27 04 22 10 99.9271 25.6458 5573.13 -0.3
2021 05 27 04 24 53 99.9308 25.6463 7739.50 -0.1
2021 05 27 04 25 08 100.0428 25.5415 9176.90 0.2
2021 05 27 04 27 56 99.9410 25.5821 6531.39 0.2
2021 05 27 04 28 20 99.9464 25.5860 7495.53 0.6
2021 05 27 04 29 20 99.8639 25.6958 7445.56 0.1
2021 05 27 04 31 33 99.8908 25.6624 2868.83 0.2
2021 05 27 04 34 09 99.8931 25.6799 5061.66 -0.4
2021 05 27 04 34 59 99.8781 25.6669 1845.90 -0.5
2021 05 27 04 36 10 99.9279 25.5958 5928.80 -0.2
2021 05 27 04 38 11 99.8824 25.6627 1601.93 -0.5
2021 05 27 04 40 21 99.9865 25.5914 5143.97 0.1
2021 05 27 04 41 32 99.9362 25.6192 8586.07 0.1
2021 05 27 04 42 05 99.9148 25.5499 6728.33 0.4
2021 05 27 04 43 10 99.9855 25.5834 7028.16 0.4
2021 05 27 04 44 32 99.9644 25.5685 6669.54 0.8
2021 05 27 04 45 07 99.9427 25.5774 5258.61 -0.4
2021 05 27 04 50 46 99.9331 25.6228 6034.62 -0.3
2021 05 27 04 51 15 99.8815 25.6765 8162.79 0.3
2021 05 27 04 58 15 99.8936 25.6705 6269.78 -0.4
2021 05 27 05 03 23 99.8760 25.6934 8265.67 -0.4
2021 05 27 05 05 03 100.0490 25.5634 5117.51 -0.4
2021 05 27 05 07 00 100.0323 25.5381 649.54 0.9
2021 05 27 05 07 33 99.9873 25.5934 5705.40 0.0
2021 05 27 05 10 50 99.8771 25.6675 10796.54 -0.3
2021 05 27 05 13 04 99.9401 25.5542 7148.67 0.3
2021 05 27 05 21 46 99.9348 25.6423 6622.51 1.3
2021 05 27 05 23 43 99.9169 25.6490 7201.58 -0.6
2021 05 27 05 24 39 99.9000 25.6577 5296.82 0.1
2021 05 27 05 29 09 99.8554 25.6781 6975.25 0.3
2021 05 27 05 30 30 99.9384 25.6169 5670.13 0.1
2021 05 27 05 29 59 99.9161 25.6494 6084.59 -0.3
2021 05 27 05 31 00 99.9239 25.6370 2942.32 0.6
2021 05 27 05 33 38 99.9388 25.5923 4788.29 1.0
2021 05 27 05 33 02 99.9043 25.6553 4467.89 0.5
2021 05 27 05 34 22 99.8888 25.6684 5958.20 1.9
2021 05 27 05 36 02 99.8925 25.6493 6116.93 0.5
2021 05 27 05 37 23 99.8790 25.6473 7968.78 0.4
2021 05 27 05 39 47 99.9851 25.5867 7668.96 0.1
2021 05 27 05 40 46 99.8551 25.6891 8738.92 -0.0
2021 05 27 05 42 02 99.8819 25.6685 4970.54 1.7
2021 05 27 05 44 41 100.0905 25.4185 11002.30 0.0
2021 05 27 05 45 47 100.0902 25.4216 11084.60 0.1
2021 05 27 05 47 09 99.9319 25.6302 5893.53 -0.1
2021 05 27 05 47 52 99.9842 25.5934 6575.48 0.1
2021 05 27 05 49 09 99.8730 25.6728 6337.38 0.1
2021 05 27 05 50 14 99.8979 25.6642 464.36 -0.1
2021 05 27 05 52 49 99.9747 25.5687 5164.54 -0.4
2021 05 27 06 00 15 99.9346 25.6436 8018.75 -0.1
2021 05 27 06 01 01 99.9527 25.5670 6499.05 -0.4
2021 05 27 06 02 52 99.9311 25.6065 5740.68 0.0
2021 05 27 06 07 05 99.9846 25.5630 5905.29 0.8
2021 05 27 06 08 10 99.9712 25.5961 4905.87 -0.4
2021 05 27 06 11 52 99.8780 25.7161 5855.31 0.0
2021 05 27 06 12 38 99.8990 25.6522 4967.60 1.9
2021 05 27 06 15 07 99.9974 25.5503 479.05 -0.1
2021 05 27 06 17 08 100.0104 25.5440 8803.59 -0.4
2021 05 27 06 22 06 99.9323 25.6426 7951.14 -0.1
2021 05 27 06 23 35 99.9925 25.5762 7280.95 -0.1
2021 05 27 06 24 31 99.8998 25.6588 5167.48 -0.2
2021 05 27 06 25 16 99.9705 25.5722 7310.34 -0.0
2021 05 27 06 27 23 99.9369 25.5873 6234.50 -0.1
2021 05 27 06 33 02 99.9609 25.5743 6616.63 0.5
2021 05 27 06 43 19 99.9346 25.7334 5011.69 -0.3
2021 05 27 06 44 02 99.9431 25.6231 7198.64 1.6
2021 05 27 06 46 28 99.8809 25.6765 8292.12 -0.0
2021 05 27 06 48 55 99.9911 25.5635 4082.82 1.2
2021 05 27 06 49 33 100.0159 25.5472 8362.67 0.2
2021 05 27 06 52 20 99.9470 25.5632 7551.38 0.2
2021 05 27 07 18 01 99.9654 25.5707 6822.39 2.2
2021 05 27 07 19 24 99.9591 25.5657 6152.20 0.2
2021 05 27 07 19 38 99.9686 25.5574 4473.77 -0.3
2021 05 27 07 21 50 99.9352 25.7167 6475.54 1.3
2021 05 27 07 24 26 99.9671 25.5504 5517.28 -0.0
2021 05 27 07 26 56 99.9348 25.5977 5517.28 0.4
2021 05 27 07 27 57 99.8983 25.6696 5293.88 -0.0
2021 05 27 07 30 44 99.8992 25.6509 5464.37 0.0
2021 05 27 07 34 28 99.9345 25.6437 7880.60 0.3
2021 05 27 07 36 47 99.9803 25.5888 6334.45 0.0
2021 05 27 07 40 59 99.9677 25.5569 4412.04 0.0
2021 05 27 07 42 46 99.9667 25.5828 7010.52 0.2
2021 05 27 07 52 27 99.8816 25.6802 7069.31 0.5
2021 05 27 07 59 47 99.9326 25.6028 7645.44 0.4
2021 05 27 08 01 03 99.8836 25.6655 7786.54 0.7
2021 05 27 08 03 33 99.8815 25.6703 5470.25 0.3
2021 05 27 08 12 47 99.8755 25.6751 4397.35 -0.1
2021 05 27 08 15 30 99.9363 25.5696 10861.20 0.2
